initial_alias,name
ENSMUSG00000105925,Gm43846
ENSMUSG00000064899,Snord118
ENSMUSG00000064336,mt-Tf
ENSMUSG00000118717,n-R5s127
ENSMUSG00000064349,mt-Tc
ENSMUSG00000118876,Rnu1b1
ENSMUSG00000069266,H4c2
ENSMUSG00000097072,Foxl2os
ENSMUSG00000024388,Myo7b
ENSMUSG00000064361,mt-Tr
ENSMUSG00000064487,Gm23736
ENSMUSG00000064365,mt-Ts2
ENSMUSG00000112092,Gm32936
ENSMUSG00002074846,Vaultrc5
ENSMUSG00000088148,Mir1983
ENSMUSG00000094338,H2bc13
ENSMUSG00000116729,Gm49644
ENSMUSG00000080538,Gm25541
ENSMUSG00000069265,H3c1
ENSMUSG00000058773,H1f5
ENSMUSG00000064545,Gm22981
ENSMUSG00002076330,Gm56077
ENSMUSG00000049539,H1f1
ENSMUSG00000086373,Gm11978
ENSMUSG00000119403,Gm22265
ENSMUSG00000050799,H2bc1
ENSMUSG00000075031,H2bc3
ENSMUSG00000119476,Rnu1a1
ENSMUSG00000086313,Gm15940
ENSMUSG00000101355,H3c10
ENSMUSG00000119227,Gm25099
ENSMUSG00000119459,Gm23287
ENSMUSG00000118945,n-R5s136
ENSMUSG00000056895,H2bc27
ENSMUSG00000103242,Gm34767
ENSMUSG00000082687,Gm11474
ENSMUSG00000065022,AF357341
ENSMUSG00000117788,Gm5517
ENSMUSG00000110263,Gm45652
ENSMUSG00000119670,Gm24305
ENSMUSG00000052565,H1f3
ENSMUSG00000119668,Gm23472
ENSMUSG00000096201,None
ENSMUSG00000060678,H4c3
ENSMUSG00000104993,Gm43510
ENSMUSG00000064923,Gm22042
ENSMUSG00000084507,Gm25321
ENSMUSG00000065176,Rnu12
ENSMUSG00000082616,Gm6025
ENSMUSG00000098030,Gm6771
ENSMUSG00000092713,Gm22858
ENSMUSG00000069274,H4c6
ENSMUSG00000064372,mt-Tp
ENSMUSG00000064288,H4c12
ENSMUSG00000102718,Gm37761
ENSMUSG00000065042,Gm24043
ENSMUSG00000116918,Gm49578
ENSMUSG00000070263,Gm22365
ENSMUSG00000055341,Zfp457
ENSMUSG00000108513,Gm30075
ENSMUSG00000081364,Gm8595
ENSMUSG00000064340,mt-Tl1
ENSMUSG00000064542,Gm22980
ENSMUSG00000105167,Snord43
ENSMUSG00000119767,n-R5s112
ENSMUSG00000065822,Snord15a
ENSMUSG00000103625,Gm37357
ENSMUSG00000097892,Gm26801
ENSMUSG00000117626,Gm7917
ENSMUSG00000065050,Gm25704
ENSMUSG00000071516,H2ac13
ENSMUSG00000100417,Gm28578
ENSMUSG00000083201,Gm12080
ENSMUSG00000064344,mt-Tm
ENSMUSG00000085066,Gm4989
ENSMUSG00000062727,H2bc12
ENSMUSG00000101240,Gm28266
ENSMUSG00002076348,Gm55604
ENSMUSG00000069300,H2bc11
ENSMUSG00000118328,Gm46615
ENSMUSG00000103501,Gm7412
ENSMUSG00000119895,Gm22513
ENSMUSG00000107416,Gm44030
ENSMUSG00000118864,Gm25679
