"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of chromatin","GO:0030527","5.664291463914525e-41","40.24685440752292","109","275","36","25177","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000069302,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000068855,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000101972,ENSMUSG00000069310,ENSMUSG00000061482,ENSMUSG00000063021,ENSMUSG00000060981,ENSMUSG00000094338,ENSMUSG00000069308,ENSMUSG00000069265,ENSMUSG00000051627,ENSMUSG00000069267,ENSMUSG00000114456"
"GO:MF","protein heterodimerization activity","GO:0046982","4.1022836231051676e-19","18.386974316739142","381","207","31","25177","ENSMUSG00000069266,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000069302,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000068855,ENSMUSG00000024261,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000101972,ENSMUSG00000034701,ENSMUSG00000069310,ENSMUSG00000061482,ENSMUSG00000063021,ENSMUSG00000060981,ENSMUSG00000094338,ENSMUSG00000069308"
"GO:MF","structural molecule activity","GO:0005198","7.416460709693852e-16","15.129803299701871","938","98","29","25177","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000118945,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000118717,ENSMUSG00000119767,ENSMUSG00000071516,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000069302,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000068855,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000119216,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093"
"GO:MF","triplet codon-amino acid adaptor activity","GO:0030533","2.9418939637851324e-14","13.531372984828376","36","55","9","25177","ENSMUSG00000064349,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000064336,ENSMUSG00000064372,ENSMUSG00000064340,ENSMUSG00000064344,ENSMUSG00000064338"
"GO:MF","protein dimerization activity","GO:0046983","5.257481488097051e-9","8.279222247815479","1147","98","24","25177","ENSMUSG00000069266,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000069302,ENSMUSG00000067455,ENSMUSG00000055737,ENSMUSG00000091405,ENSMUSG00000068855,ENSMUSG00000024261,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093"
"GO:MF","nucleic acid binding","GO:0003676","4.40006252006016e-8","7.356541152621941","4740","60","34","25177","ENSMUSG00000064349,ENSMUSG00000118876,ENSMUSG00000069266,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000080538,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000064336,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000064923,ENSMUSG00000065176,ENSMUSG00000069274,ENSMUSG00000064372,ENSMUSG00000064288,ENSMUSG00000055341,ENSMUSG00000064340,ENSMUSG00000071516,ENSMUSG00000064344,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000119895,ENSMUSG00000118790,ENSMUSG00000064338,ENSMUSG00000020783,ENSMUSG00000069302,ENSMUSG00000119427,ENSMUSG00000067455"
"GO:MF","mRNA binding","GO:0003729","0.0000075109307310339086","5.1243062432479185","389","56","10","25177","ENSMUSG00000064349,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000064336,ENSMUSG00000064372,ENSMUSG00000064340,ENSMUSG00000064344,ENSMUSG00000064338,ENSMUSG00000020783"
"GO:MF","heterocyclic compound binding","GO:1901363","0.00023526507177554606","3.6284425448219264","6861","60","35","25177","ENSMUSG00000064349,ENSMUSG00000118876,ENSMUSG00000069266,ENSMUSG00000024388,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000080538,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000064336,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000064923,ENSMUSG00000065176,ENSMUSG00000069274,ENSMUSG00000064372,ENSMUSG00000064288,ENSMUSG00000055341,ENSMUSG00000064340,ENSMUSG00000071516,ENSMUSG00000064344,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000119895,ENSMUSG00000118790,ENSMUSG00000064338,ENSMUSG00000020783,ENSMUSG00000069302,ENSMUSG00000119427,ENSMUSG00000067455"
"GO:MF","organic cyclic compound binding","GO:0097159","0.00030587945464897337","3.514449692783986","6947","35","24","25177","ENSMUSG00000064349,ENSMUSG00000118876,ENSMUSG00000069266,ENSMUSG00000024388,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000080538,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000064336,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000064923,ENSMUSG00000065176,ENSMUSG00000069274,ENSMUSG00000064372,ENSMUSG00000064288,ENSMUSG00000055341,ENSMUSG00000064340"
"GO:MF","nucleosomal DNA binding","GO:0031492","0.00039583721648590625","3.402483375984536","21","659","7","25177","ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000052565,ENSMUSG00000051627,ENSMUSG00000036181,ENSMUSG00000066456,ENSMUSG00000037894"
"GO:MF","DNA binding","GO:0003677","0.0006590304977702748","3.1810944872165092","2411","98","26","25177","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000101355,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000055341,ENSMUSG00000071516,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000069302,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000068855,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093"
"GO:MF","transition metal ion transmembrane transporter activity","GO:0046915","0.0012794137372325609","2.892988990516792","40","4802","21","25177","ENSMUSG00000037434,ENSMUSG00000033792,ENSMUSG00000034112,ENSMUSG00000025986,ENSMUSG00000032570,ENSMUSG00000052310,ENSMUSG00000029234,ENSMUSG00000048833,ENSMUSG00000022797,ENSMUSG00000024270,ENSMUSG00000041654,ENSMUSG00000093954,ENSMUSG00000021629,ENSMUSG00000066152,ENSMUSG00000061273,ENSMUSG00000054414,ENSMUSG00000005802,ENSMUSG00000028836,ENSMUSG00000023030,ENSMUSG00000066150,ENSMUSG00000025993"
