"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000105925","ENSMUSG00000105925","Gm43846","predicted gene 43846 [Source:MGI Symbol;Acc:MGI:5663983]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064899","ENSMUSG00000064899","Snord118","small nucleolar RNA, C/D box 118 [Source:MGI Symbol;Acc:MGI:3819519]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064336","ENSMUSG00000064336","mt-Tf","mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118717","ENSMUSG00000118717","n-R5s127","nuclear encoded rRNA 5S 127 [Source:MGI Symbol;Acc:MGI:4421983]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064349","ENSMUSG00000064349","mt-Tc","mitochondrially encoded tRNA cysteine [Source:MGI Symbol;Acc:MGI:102490]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118876","ENSMUSG00000118876","Rnu1b1","U1b1 small nuclear RNA [Source:MGI Symbol;Acc:MGI:97974]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069266","ENSMUSG00000069266","H4c2","H4 clustered histone 2 [Source:MGI Symbol;Acc:MGI:2448420]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097072","ENSMUSG00000097072","Foxl2os","forkhead box L2, opposite strand [Source:MGI Symbol;Acc:MGI:3614944]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024388","ENSMUSG00000024388","Myo7b","myosin VIIB [Source:MGI Symbol;Acc:MGI:107709]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064361","ENSMUSG00000064361","mt-Tr","mitochondrially encoded tRNA arginine [Source:MGI Symbol;Acc:MGI:102476]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064487","ENSMUSG00000064487","Gm23736","predicted gene, 23736 [Source:MGI Symbol;Acc:MGI:5453513]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064365","ENSMUSG00000064365","mt-Ts2","mitochondrially encoded tRNA serine 2 [Source:MGI Symbol;Acc:MGI:102474]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112092","ENSMUSG00000112092","Gm32936","predicted gene, 32936 [Source:MGI Symbol;Acc:MGI:5592095]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002074846","ENSMUSG00002074846","Vaultrc5","vault RNA component 5 [Source:MGI Symbol;Acc:MGI:2673990]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000088148","ENSMUSG00000088148","Mir1983","microRNA 1983 [Source:MGI Symbol;Acc:MGI:3837223]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000094338","ENSMUSG00000094338","H2bc13","H2B clustered histone 13 [Source:MGI Symbol;Acc:MGI:2448403]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116729","ENSMUSG00000116729","Gm49644","predicted gene, 49644 [Source:MGI Symbol;Acc:MGI:6215076]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000080538","ENSMUSG00000080538","Gm25541","predicted gene, 25541 [Source:MGI Symbol;Acc:MGI:5455318]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069265","ENSMUSG00000069265","H3c1","H3 clustered histone 1 [Source:MGI Symbol;Acc:MGI:2668828]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000058773","ENSMUSG00000058773","H1f5","H1.5 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1861461]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064545","ENSMUSG00000064545","Gm22981","predicted gene, 22981 [Source:MGI Symbol;Acc:MGI:5452758]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002076330","ENSMUSG00002076330","Gm56077","predicted gene, 56077 [Source:MGI Symbol;Acc:MGI:6848613]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049539","ENSMUSG00000049539","H1f1","H1.1 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1931523]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000086373","ENSMUSG00000086373","Gm11978","predicted gene 11978 [Source:MGI Symbol;Acc:MGI:3650695]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119403","ENSMUSG00000119403","Gm22265","predicted gene, 22265 [Source:MGI Symbol;Acc:MGI:5452042]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050799","ENSMUSG00000050799","H2bc1","H2B clustered histone 1 [Source:MGI Symbol;Acc:MGI:2448375]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075031","ENSMUSG00000075031","H2bc3","H2B clustered histone 3 [Source:MGI Symbol;Acc:MGI:2448377]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119476","ENSMUSG00000119476","Rnu1a1","U1a1 small nuclear RNA [Source:MGI Symbol;Acc:MGI:97972]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000086313","ENSMUSG00000086313","Gm15940","predicted gene 15940 [Source:MGI Symbol;Acc:MGI:3802082]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000101355","ENSMUSG00000101355","H3c10","H3 clustered histone 10 [Source:MGI Symbol;Acc:MGI:2448349]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119227","ENSMUSG00000119227","Gm25099","predicted gene, 25099 [Source:MGI Symbol;Acc:MGI:5454876]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119459","ENSMUSG00000119459","Gm23287","predicted gene, 23287 [Source:MGI Symbol;Acc:MGI:5453064]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118945","ENSMUSG00000118945","n-R5s136","nuclear encoded rRNA 5S 136 [Source:MGI Symbol;Acc:MGI:4421992]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000056895","ENSMUSG00000056895","H2bc27","H2B clustered histone 27 [Source:MGI Symbol;Acc:MGI:1925553]","ARRAYEXPRESS,ENSG"
